Mean RMSE: 0.2214, Params: {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}
Mean RMSE: 0.1723, Params: {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}
Mean RMSE: 0.1440, Params: {'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}
Mean RMSE: 0.2116, Params: {'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100}
Mean RMSE: 0.1652, Params: {'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}
Mean RMSE: 0.1496, Params: {'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 500}
Mean RMSE: 0.2146, Params: {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100}
Mean RMSE: 0.1712, Params: {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 200}
Mean RMSE: 0.1596, Params: {'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500}
Mean RMSE: 0.1395, Params: {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}
Mean RMSE: 0.1378, Params: {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}
Mean RMSE: 0.1379, Params: {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}
Mean RMSE: 0.1498, Params: {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}
Mean RMSE: 0.1496, Params: {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}
Mean RMSE: 0.1496, Params: {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 500}
Mean RMSE: 0.1595, Params: {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100}
Mean RMSE: 0.1594, Params: {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200}
Mean RMSE: 0.1594, Params: {'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}
Mean RMSE: 0.1426, Params: {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 100}
Mean RMSE: 0.1429, Params: {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 200}
Mean RMSE: 0.1430, Params: {'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 500}
Mean RMSE: 0.1519, Params: {'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 100}
Mean RMSE: 0.1519, Params: {'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 200}
Mean RMSE: 0.1519, Params: {'learning_rate': 0.3, 'max_depth': 6, 'n_estimators': 500}
Mean RMSE: 0.1628, Params: {'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 100}
Mean RMSE: 0.1628, Params: {'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 200}
Mean RMSE: 0.1628, Params: {'learning_rate': 0.3, 'max_depth': 10, 'n_estimators': 500}
